brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
UNDER ARMOUR,Under Armour Charged Slight 2 Masculino Adultos,359,99,260,99,4.8,(334)
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
OLYMPIKUS,Olympikus Asfalto Masculino Adultos,231,99,22,55,,
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,69,28,18,,
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
OLYMPIKUS,Tênis Running Masculino Vertical Olympikus Preto,432,23,43,22,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,160,99,4.8,(5712)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,142,99,4.8,(959)
OLYMPIKUS,Tênis Running Masculino Taurus Olympikus Preto,345,78,34,58,,
ON RUNNING,On Running Cloudmonster 2 Masculino Branco/preto Adultos,1.149,99,114,,,
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5450)
NIKE,Tênis Nike Flex Experience 12 Masculino,299,99,29,08,5.0,(1)
OLYMPIKUS,Tênis Running Masculino Zex Olympikus Branco E Preto,283,99,31,55,,
OLYMPIKUS,Tênis Running Masculino Triunfo 2 Olympikus Petróleo,284,56,31,,,
NIKE,Tênis Nike Air Max Sc Masculino,389,99,39,,4.8,(415)
MIZUNO,Tênis Mizuno Hawk 5 Masculino,389,90,319,71,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,269,62,33,,4.7,(425)
PUMA,Tênis Puma Flyer Runner Mesh Bdp Masculino Original ,329,90,283,71,5.0,(5)
OLYMPIKUS,Tênis Olympikus Cyber Original,259,99,185,25,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,74,99,4.5,(9444)
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,99,48,47,5.0,(3)
UNDER ARMOUR,Tênis Sport Under Armour Charged Skyline 4 Original Treino,412,49,329,99,5.0,(3)
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,4.8,(7726)
FILA,Tênis Fila Fire Masculino / Feminino - Original ,349,99,248,49,4.5,(6)
OLYMPIKUS,Tênis Running Masculino Volcan Original Olympikus,234,59,33,51,,
MSTORE,Kit 3 Pares Sapatenis Casual Barato Confortável Macio Flex,129,90,32,48,,
OLYMPIKUS,Tênis Masculino Corre Trilha Olympikus Novo,599,99,478,99,5.0,(2)
PUMA,Tênis De Corrida Retaliate 2 Puma Tênis De Corrida,399,90,39,99,,
FILA,Tênis Fila Efecto Masculino / Feminino - Original,299,99,224,99,5.0,(5)
UNDER ARMOUR,Tênis Masculino E Feminino Tribase Reps Under Armour Novo,449,99,358,99,5.0,(2)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(4634)
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,259,99,194,99,4.8,(212)
FILA,Fila Running Progress Masculino Adultos,597,85,316,86,4.7,(176)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(5450)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,90,158,63,4.7,(2786)
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,199,99,158,99,4.8,(1418)
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,4.6,(1565)
UNDER ARMOUR,Under Armour Tribase Cross Masculino Adultos,499,99,349,99,4.7,(375)
OLYMPIKUS,Tênis Olympikus Corrida Corre 3 Laranja Unissex,499,98,50,,4.5,(2)
OLYMPIKUS,Olympikus Voa 2 Masculino Adultos,299,99,208,99,4.8,(269)
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,67,22,,4.7,(2004)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,69,90,46,55,4.7,(84)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,145,99,4.8,(888)
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,4.6,(396)
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,66,90,63,55,4.5,(1601)
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,228,78,4.6,(603)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,78,,26,,4.2,(42)
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,259,99,4.8,(33)
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,90,44,65,4.4,(3402)
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,299,99,33,33,4.9,(116)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2186)
FILA,Tênis Fila Kenya Racer Kr6 Alta Performance Masculino,599,99,365,99,5.0,(3)
